Temperature,Wind Speed,Precip,Condition,DateTime
37,16.0,0.0,Cloudy,2022-01-13 21:22:00
36,16.0,0.0,Cloudy,2022-01-13 21:53:00
36,16.0,0.0,Wintry Mix,2022-01-13 22:01:00
36,16.0,0.0,Cloudy,2022-01-13 22:13:00
36,16.0,0.0,Cloudy,2022-01-13 22:41:00
36,18.0,0.0,Cloudy,2022-01-13 22:53:00
35,17.0,0.0,Cloudy,2022-01-13 23:53:00
35,17.0,0.0,Cloudy,2022-01-14 00:53:00
34,16.0,0.0,Cloudy,2022-01-14 01:53:00
34,17.0,0.0,Cloudy,2022-01-14 02:53:00
33,17.0,0.0,Cloudy,2022-01-14 03:53:00
33,14.0,0.0,Cloudy,2022-01-14 04:53:00
33,15.0,0.0,Cloudy,2022-01-14 05:53:00
33,13.0,0.0,Cloudy,2022-01-14 06:53:00
34,12.0,0.0,Cloudy,2022-01-14 07:53:00
34,12.0,0.0,Cloudy,2022-01-14 08:28:00
33,17.0,0.0,Cloudy,2022-01-14 08:53:00
34,17.0,0.0,Cloudy,2022-01-14 09:53:00
33,16.0,0.0,Cloudy,2022-01-14 10:18:00
33,17.0,0.0,Light Snow,2022-01-14 10:53:00
33,17.0,0.0,Light Snow,2022-01-14 11:53:00
32,18.0,0.0,Light Snow,2022-01-14 12:53:00
31,17.0,0.0,Light Snow,2022-01-14 13:53:00
30,20.0,0.0,Light Snow,2022-01-14 14:53:00
30,18.0,0.0,Light Snow,2022-01-14 15:23:00
30,16.0,0.0,Light Snow,2022-01-14 15:53:00
27,16.0,0.0,Light Snow,2022-01-14 18:44:00
26,17.0,0.0,Light Snow,2022-01-14 19:45:00
26,15.0,0.0,Light Snow,2022-01-14 19:53:00
26,16.0,0.0,Light Snow,2022-01-14 20:22:00
27,17.0,0.0,Light Snow,2022-01-14 20:50:00
26,15.0,0.0,Light Snow,2022-01-14 20:53:00
26,15.0,0.0,Light Snow,2022-01-14 21:53:00
25,14.0,0.0,Light Snow,2022-01-14 22:53:00
24,16.0,0.0,Light Snow,2022-01-14 23:53:00
24,14.0,0.0,Light Snow,2022-01-15 00:29:00
24,16.0,0.0,Light Snow,2022-01-15 00:53:00
24,14.0,0.0,Cloudy,2022-01-15 01:53:00
24,17.0,0.0,Cloudy,2022-01-15 02:53:00
24,15.0,0.0,Mostly Cloudy,2022-01-15 03:53:00
24,17.0,0.0,Mostly Cloudy,2022-01-15 04:53:00
25,14.0,0.0,Mostly Cloudy,2022-01-15 05:53:00
25,16.0,0.0,Mostly Cloudy,2022-01-15 06:53:00
25,16.0,0.0,Mostly Cloudy,2022-01-15 07:53:00
25,15.0,0.0,Mostly Cloudy,2022-01-15 08:53:00
25,15.0,0.0,Partly Cloudy,2022-01-15 09:53:00
25,13.0,0.0,Partly Cloudy,2022-01-15 10:53:00
25,12.0,0.0,Partly Cloudy,2022-01-15 11:53:00
26,7.0,0.0,Fair,2022-01-15 12:53:00
25,5.0,0.0,Fair,2022-01-15 13:53:00
23,7.0,0.0,Fair,2022-01-15 14:53:00
22,6.0,0.0,Fair,2022-01-15 15:53:00
22,5.0,0.0,Fair,2022-01-15 16:53:00
21,8.0,0.0,Fair,2022-01-15 17:53:00
20,5.0,0.0,Fair,2022-01-15 18:53:00
19,6.0,0.0,Fair,2022-01-15 19:53:00
19,10.0,0.0,Fair,2022-01-15 20:53:00
18,0.0,0.0,Fair,2022-01-15 21:53:00
18,7.0,0.0,Fair,2022-01-15 22:53:00
17,0.0,0.0,Fair,2022-01-15 23:53:00
17,3.0,0.0,Fair,2022-01-16 00:53:00
17,3.0,0.0,Fair,2022-01-16 01:53:00
19,5.0,0.0,Fair,2022-01-16 02:53:00
21,0.0,0.0,Fair,2022-01-16 03:53:00
24,7.0,0.0,Fair,2022-01-16 04:53:00
26,7.0,0.0,Partly Cloudy,2022-01-16 05:53:00
28,3.0,0.0,Mostly Cloudy,2022-01-16 06:53:00
29,5.0,0.0,Mostly Cloudy,2022-01-16 07:53:00
30,5.0,0.0,Mostly Cloudy,2022-01-16 08:53:00
30,3.0,0.0,Mostly Cloudy,2022-01-16 09:53:00
29,8.0,0.0,Cloudy,2022-01-16 10:53:00
29,8.0,0.0,Cloudy,2022-01-16 11:53:00
28,9.0,0.0,Cloudy,2022-01-16 12:53:00
27,9.0,0.0,Cloudy,2022-01-16 13:53:00
27,13.0,0.0,Light Snow,2022-01-16 14:09:00
25,10.0,0.0,Light Snow,2022-01-16 14:53:00
25,8.0,0.0,Light Snow,2022-01-16 15:37:00
25,8.0,0.0,Light Snow,2022-01-16 15:53:00
25,9.0,0.0,Light Snow,2022-01-16 16:14:00
25,8.0,0.0,Light Snow,2022-01-16 16:31:00
25,15.0,0.0,Light Snow,2022-01-16 16:53:00
25,10.0,0.0,Cloudy,2022-01-16 17:32:00
25,10.0,0.0,Cloudy,2022-01-16 17:53:00
25,14.0,0.0,Cloudy,2022-01-16 18:53:00
25,10.0,0.0,Cloudy,2022-01-16 19:53:00
25,17.0,0.0,Cloudy,2022-01-16 20:27:00
25,12.0,0.0,Cloudy,2022-01-16 20:53:00
26,10.0,0.0,Cloudy,2022-01-16 21:53:00
26,13.0,0.0,Cloudy,2022-01-16 22:32:00
26,13.0,0.0,Cloudy,2022-01-16 22:53:00
26,15.0,0.0,Cloudy,2022-01-16 23:53:00
26,16.0,0.0,Cloudy,2022-01-17 00:41:00
26,15.0,0.0,Cloudy,2022-01-17 00:53:00
26,13.0,0.0,Cloudy,2022-01-17 01:53:00
27,14.0,0.0,Cloudy,2022-01-17 02:53:00
27,14.0,0.0,Cloudy,2022-01-17 03:18:00
28,15.0,0.0,Cloudy,2022-01-17 03:53:00
28,15.0,0.0,Light Snow,2022-01-17 04:01:00
29,15.0,0.0,Cloudy,2022-01-17 04:53:00
29,14.0,0.0,Cloudy,2022-01-17 05:53:00
30,17.0,0.0,Cloudy,2022-01-17 06:53:00
30,12.0,0.0,Cloudy,2022-01-17 07:53:00
30,10.0,0.0,Cloudy,2022-01-17 08:53:00
29,9.0,0.0,Cloudy,2022-01-17 09:53:00
29,13.0,0.0,Cloudy,2022-01-17 10:53:00
29,9.0,0.0,Cloudy,2022-01-17 11:53:00
30,10.0,0.0,Cloudy,2022-01-17 12:53:00
30,10.0,0.0,Mostly Cloudy,2022-01-17 13:53:00
30,9.0,0.0,Mostly Cloudy,2022-01-17 14:53:00
